,Unnamed: 0,Unnamed: 0.1,set,file,cost,EA,MFEA,time,cost_propose,avg,std,time_prop,test_id
0,0,0,set1,idpc_10x10x1000,13,13,7,18,7,7.0,0.0,13.2,S_0
1,1,1,set1,idpc_10x20x2713,12,12,12,18,7,7.0,0.0,20.8666666666666,S_1
2,2,2,set1,idpc_10x5x425,7,12,7,17,7,7.0,0.0,6.466666666666661,S_2
3,3,3,set1,idpc_15x15x3375,16,16,10,37,10,10.0,0.0,41.2666666666666,S_3
4,4,4,set1,idpc_15x30x12111,16,16,10,42,10,10.0,0.0,80.7333333333333,S_4
5,5,5,set1,idpc_15x7x1504,10,18,18,40,10,10.0,0.0,25.533333333333303,S_5
6,6,6,set1,idpc_20x10x2492,22,22,22,56,15,15.0,0.0,67.1333333333333,S_6
7,7,7,set1,idpc_20x20x8000,21,21,15,67,15,15.0,0.0,126.6,S_7
8,8,8,set1,idpc_20x40x26104,21,21,15,75,15,15.0,0.0,157.766666666666,S_8
9,9,9,set1,idpc_25x12x4817,27,27,27,89,18,18.0,0.0,106.3,S_9
10,10,10,set1,idpc_25x25x15625,26,26,18,102,18,18.0,0.0,183.833333333333,S_10
11,11,11,set1,idpc_25x50x57147,26,26,18,121,18,18.0,0.0,527.4,S_11
12,12,12,set1,idpc_30x15x10025,33,33,33,136,24,24.0,0.0,184.266666666666,S_12
13,13,13,set1,idpc_30x30x27000,32,33,32,149,24,24.0,0.0,461.56666666666604,S_13
14,14,14,set1,idpc_30x60x89772,32,32,32,177,32,32.0,0.0,872.266666666666,S_14
15,15,15,set1,idpc_35x17x13934,38,38,38,170,28,28.0,0.0,275.6,S_15
16,16,16,set1,idpc_35x35x42875,37,39,37,207,28,28.0,0.0,635.6666666666661,S_16
17,17,17,set1,idpc_35x70x123585,36,36,28,242,28,28.0,0.0,960.4333333333329,S_17
18,18,18,set1,idpc_40x20x18485,42,42,42,210,32,32.0,0.0,686.866666666666,S_18
19,19,19,set1,idpc_40x40x64000,42,42,42,273,32,32.0,0.0,1025.7333333333302,S_19
20,20,20,set1,idpc_40x80x130681,42,42,42,282,32,33.3333333333333,3.3993463423951806,1213.13333333333,S_20
21,21,21,set1,idpc_45x22x43769,47,48,47,369,35,41.0,6.0,1435.9666666666599,S_21
22,22,22,set1,idpc_45x45x91125,46,46,46,359,35,35.0,0.0,1138.96666666666,S_22
23,23,23,set1,idpc_45x90x322081,46,46,46,449,46,46.0,0.0,1971.33333333333,S_23
24,24,24,set2,idpc_100x100x1000000,102,103,102,2207,102,102.0,0.0,8459.83333333333,L_24
25,25,25,set2,idpc_100x200x2296097,101,101,101,2307,101,101.0,0.0,10120.266666666601,L_25
26,26,26,set2,idpc_100x50x461319,102,115,102,2190,102,102.733333333333,0.9285592184789409,7858.7,L_26
27,27,27,set2,idpc_50x100x285357,52,52,52,490,52,52.0,0.0,2037.5666666666602,L_27
28,28,28,set2,idpc_50x25x38961,53,53,53,359,38,38.0,0.0,1162.9,L_28
29,29,29,set2,idpc_50x50x125000,52,53,52,461,52,52.0,0.0,1817.43333333333,L_29
30,30,30,set2,idpc_60x120x434337,61,61,61,689,61,61.0,0.0,2862.86666666666,L_30
31,31,31,set2,idpc_60x30x99470,62,64,62,667,45,45.0,0.0,2551.9,L_31
32,32,32,set2,idpc_60x60x216000,62,63,62,689,62,62.0,0.0,2713.4,L_32
33,33,33,set2,idpc_70x140x923343,72,73,72,1119,72,72.0,0.0,4668.6,L_33
34,34,34,set2,idpc_70x35x120810,72,72,72,818,72,72.0,0.0,2917.3,L_34
35,35,35,set2,idpc_70x70x343000,71,71,71,961,55,68.8666666666666,5.438954147832299,3734.5,L_35
36,36,36,set2,idpc_80x160x1490468,81,81,81,1519,81,81.0,0.0,6645.8,L_36
37,37,37,set2,idpc_80x40x175762,82,82,82,1076,70,70.4,2.1540659228538,3798.7333333333295,L_37
38,38,38,set2,idpc_80x80x512000,82,85,82,1280,82,82.0333333333333,0.17950549357115,5059.333333333329,L_38
39,39,39,set2,idpc_90x180x1644367,91,91,91,1742,91,91.0,0.0,7601.1,L_39
40,40,40,set2,idpc_90x45x260195,93,95,93,1381,93,93.0333333333333,0.17950549357115,5078.4,L_40
41,41,41,set2,idpc_90x90x729000,91,91,91,1650,91,91.0,0.0,6569.96666666666,L_41
