,Unnamed: 0,set,file,cost,EA,MFEA,time
0,0,set1,idpc_10x10x1000,13,13,7,18
1,1,set1,idpc_10x20x2713,12,12,12,18
2,2,set1,idpc_10x5x425,7,12,7,17
3,3,set1,idpc_15x15x3375,16,16,10,37
4,4,set1,idpc_15x30x12111,16,16,10,42
5,5,set1,idpc_15x7x1504,10,18,18,40
6,6,set1,idpc_20x10x2492,22,22,22,56
7,7,set1,idpc_20x20x8000,21,21,15,67
8,8,set1,idpc_20x40x26104,21,21,15,75
9,9,set1,idpc_25x12x4817,27,27,27,89
10,10,set1,idpc_25x25x15625,26,26,18,102
11,11,set1,idpc_25x50x57147,26,26,18,121
12,12,set1,idpc_30x15x10025,33,33,33,136
13,13,set1,idpc_30x30x27000,32,33,32,149
14,14,set1,idpc_30x60x89772,32,32,32,177
15,15,set1,idpc_35x17x13934,38,38,38,170
16,16,set1,idpc_35x35x42875,37,39,37,207
17,17,set1,idpc_35x70x123585,36,36,28,242
18,18,set1,idpc_40x20x18485,42,42,42,210
19,19,set1,idpc_40x40x64000,42,42,42,273
20,20,set1,idpc_40x80x130681,42,42,42,282
21,21,set1,idpc_45x22x43769,47,48,47,369
22,22,set1,idpc_45x45x91125,46,46,46,359
23,23,set1,idpc_45x90x322081,46,46,46,449
24,24,set2,idpc_100x100x1000000,102,103,102,2207
25,25,set2,idpc_100x200x2296097,101,101,101,2307
26,26,set2,idpc_100x50x461319,102,115,102,2190
27,27,set2,idpc_50x100x285357,52,52,52,490
28,28,set2,idpc_50x25x38961,53,53,53,359
29,29,set2,idpc_50x50x125000,52,53,52,461
30,30,set2,idpc_60x120x434337,61,61,61,689
31,31,set2,idpc_60x30x99470,62,64,62,667
32,32,set2,idpc_60x60x216000,62,63,62,689
33,33,set2,idpc_70x140x923343,72,73,72,1119
34,34,set2,idpc_70x35x120810,72,72,72,818
35,35,set2,idpc_70x70x343000,71,71,71,961
36,36,set2,idpc_80x160x1490468,81,81,81,1519
37,37,set2,idpc_80x40x175762,82,82,82,1076
38,38,set2,idpc_80x80x512000,82,85,82,1280
39,39,set2,idpc_90x180x1644367,91,91,91,1742
40,40,set2,idpc_90x45x260195,93,95,93,1381
41,41,set2,idpc_90x90x729000,91,91,91,1650
